LTLA,O,E
E07000115,76,109.6759123
E07000116,81,111.2154397
E07000117,63,72.77418083
E07000118,115,94.40605808
E07000119,95,98.54057126
E07000120,63,64.23888139
E07000121,71,128.0237774
E07000122,78,76.33839033
E07000123,133,103.175815
E07000124,27,63.11852248
E07000125,54,54.98253678
E07000126,93,99.70284205
E07000127,119,107.8733578
E07000128,118,135.3024309
E07000129,82,93.10719232
E07000130,123,153.925649
E07000131,62,89.31046657
E07000132,105,103.2054335
E07000133,29,49.09870717
E07000134,67,84.31901658
E07000135,64,67.65858991
E07000136,35,63.17217871
E07000137,55,172.4727211
E07000138,28,69.57106999
E07000139,46,116.4186087
E07000140,58,102.0905228
E07000141,69,140.204412
E07000142,23,96.4430548
E07000143,92,154.3439112
E07000144,72,150.1614136
E07000145,49,105.7073606
E07000146,142,171.8704307
E07000147,53,154.7190888
E07000148,25,102.5014203
E07000149,59,147.7767691
E07000150,50,42.18091062
E07000151,77,72.30442715
E07000152,99,84.90194331
E07000153,107,81.94742643
E07000154,276,163.7829256
E07000155,58,80.96415639
E07000156,69,70.54827005
E07000163,67,67.8694129
E07000164,73,101.3286333
E07000165,204,175.042968
E07000166,51,48.14286662
E07000167,32,63.25151326
E07000168,85,125.3306204
E07000169,46,74.98695223
E07000170,147,101.4459538
E07000171,72,109.1886209
E07000172,103,107.3386717
E07000173,121,109.2821335
E07000174,78,90.4236976
E07000175,78,114.5491526
E07000176,87,116.5494533
E07000177,116,125.6867817
E07000178,76,102.059431
E07000179,117,136.2600521
E07000180,123,126.2004952
E07000181,119,110.0249024
E07000187,28,118.4453895
E07000188,69,128.3205113
E07000189,58,186.6251999
E07000192,80,81.48817706
E07000193,159,102.2371406
E07000194,120,104.4713664
E07000195,144,116.7408336
E07000196,105,117.709506
E07000197,120,132.914559
E07000198,79,101.0996631
E07000199,72,57.57168712
E07000200,59,106.1791072
E07000202,126,113.3017491
E07000203,77,107.3177857
E07000207,114,132.0539187
E07000208,81,74.68583086
E07000209,95,119.5165528
E07000210,105,99.92185865
E07000211,181,135.2394073
E07000212,73,74.61115949
E07000213,95,92.46672126
E07000214,90,84.45956624
E07000215,93,88.52013959
E07000216,141,135.5889564
E07000217,77,89.92711442
E07000218,86,60.55455214
E07000219,163,107.2725052
E07000220,74,99.42965548
E07000221,168,147.0511621
E07000222,104,132.151262
E07000223,40,69.09287862
E07000224,68,212.7885258
E07000225,82,154.3131678
E07000226,78,80.72679437
E07000227,123,147.827243
E07000228,169,144.475632
E07000229,79,121.0106228
E07000234,137,104.2843148
E07000235,51,100.0667715
E07000236,61,64.39884864
E07000237,63,78.81155968
E07000238,110,139.8511422
E07000239,116,104.9660213
E07000240,134,128.6068649
E07000241,113,99.06563809
E07000242,101,123.9244848
E07000243,60,67.62179305
E07000244,222,306.2486582
E07000245,78,174.0607639
E07000246,47,182.1377227
E08000001,321,223.8357442
E08000002,241,154.855784
E08000003,422,283.9192568
E08000004,261,173.7836132
E08000005,231,165.0952483
E08000006,323,169.3658766
E08000007,372,274.8667638
E08000008,301,170.8997276
E08000009,247,207.7760879
E08000010,354,248.5207719
E08000011,144,113.9507531
E08000012,579,339.8811734
E08000013,200,152.867255
E08000014,299,296.2346868
E08000015,440,312.2733046
E08000016,251,202.0847515
E08000017,263,257.6545861
E08000018,336,225.4432134
E08000019,579,463.5208375
E08000021,249,209.3173953
E08000022,156,179.8962369
E08000023,164,133.1877723
E08000024,337,225.345489
E08000025,1226,903.2194373
E08000026,286,265.2845571
E08000027,313,297.9950473
E08000028,375,269.9289111
E08000029,277,219.5912319
E08000030,390,246.0786679
E08000031,317,253.8925121
E08000032,503,405.2243071
E08000033,119,170.2898074
E08000034,322,360.6019874
E08000035,713,581.4769758
E08000036,354,281.2534768
E08000037,237,175.2513203
E09000001,4,8.287523432
E09000002,167,120.5104766
E09000003,457,360.7483526
E09000004,239,215.7542
E09000005,491,338.2077791
E09000006,345,297.4385751
E09000007,163,186.7639467
E09000008,497,339.7573054
E09000009,411,329.3535534
E09000010,392,284.5983765
E09000011,227,178.8556114
E09000012,227,182.7611161
E09000013,170,128.5415344
E09000014,272,200.4631521
E09000015,400,270.7793175
E09000016,276,234.2084436
E09000017,315,243.3680858
E09000018,236,214.9224442
E09000019,152,134.358856
E09000020,127,149.9730392
E09000021,131,138.5226595
E09000022,292,219.0296736
E09000023,294,207.8252745
E09000024,204,164.6791746
E09000025,309,223.9558245
E09000026,312,256.3998617
E09000027,153,156.8875096
E09000028,252,200.9915428
E09000029,179,165.9416095
E09000030,188,145.2849557
E09000031,252,208.5098287
E09000032,216,200.7629214
E09000033,186,221.2653977
